MUJER,WOMAN
BLANC,WHITE
LECHE,MILK
GATO,CAT
AUTOBUS,BUS
DOLARES,DOLLAR
BARATO,CHEAP
MATRICULA,REGISTRATION
IDIOMA,LANGUAGE
EXAMENES,EXAMINATION
LECCION,LESSON
TELEFONO,TELEPHONE
CATEDRATICO,PROFESSOR
LIBERTAD,FREEDOM
CAMION,LORRY
PETROLEO,OIL
DONDE,WHERE
JOVENES,YOUTHS
EXPRESIONES,EXPRESSIONS
MAL,BAD
PUBLICIDAD,PUBLICITY
MIRAR,TO LOOK
CONSEJO,COUNCIL
NACIONALIDAD,NATIONALITY
VIVIR,TO LIVE
PORTUGAL,PORTUGAL
FRANCIA,FRANCE
ESCOCIA,SCOTLAND
GALES,WALES
IRLANDA,IRELAND
ITALIA,ITALY
GRECIA,GREECE
ALEMANIA,GERMANY
HOLANDA,HOLAND
ESTADO UNIDOS,THE UNITED STATES
QUE LASTIMA,WHAT A PITY
LONDRES,LONDON
LUGAR,PLACE
APRENDER,TO LEARN
ESTUDIAR,TO STUDY
BEBER,TO DRINK
PORQUE,BECAUSE
HABLAR,TO SPEAK
